# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_shifted_model
# start_datetime = 2025-04-28 19:11:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/dr17bfvw.json
# init = 2 (Default)
# random
#   seed = 50383
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_shifted2ahh_udx/model_shifted-20250428151102_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_shifted.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0711447
# Diagonal elements of inverse mass matrix:
# 1.04661, 0.0493394, 0.00155186, 0.00481308, 0.795959, 0.000342213
-3894.47,0.973651,0.0711447,5,31,0,3895.12,-9.24084,2.30621,0.280564,0.423713,37.908,29.419
-3893.93,0.953489,0.0711447,6,63,0,3897.39,-8.67122,2.21708,0.371829,0.367248,39.3864,28.4298
-3892.79,0.996017,0.0711447,5,63,0,3895.36,-8.3745,2.10635,0.360393,0.398415,39.5792,28.4335
-3892.82,0.985951,0.0711447,6,63,0,3894.54,-8.2529,2.08215,0.299306,0.389833,39.1007,29.7437
-3892.14,0.981533,0.0711447,5,31,0,3894.11,-8.24932,2.11454,0.317397,0.385655,39.2573,29.5938
-3896.42,0.997534,0.0711447,5,31,0,3896.87,-8.72008,2.18713,0.39531,0.361982,39.9847,30.1928
-3892.1,1,0.0711447,5,31,0,3896.94,-7.9614,2.05106,0.337412,0.418326,39.4405,28.9863
-3892.6,0.902307,0.0711447,6,63,0,3895.26,-9.18819,2.32517,0.333848,0.378752,39.9234,29.3679
-3894.82,0.934215,0.0711447,5,55,0,3896.75,-7.27382,1.85797,0.341887,0.360123,40.2978,29.5164
-3894.02,1,0.0711447,6,63,0,3896.62,-8.05104,2.08725,0.32585,0.419617,38.2094,29.7321
-3893.32,0.999692,0.0711447,6,63,0,3895.76,-9.07199,2.24967,0.323837,0.419642,38.7882,29.5446
-3893.37,0.985726,0.0711447,6,63,0,3897.23,-9.57775,2.39611,0.332172,0.371978,40.2188,28.4626
-3892.31,0.99998,0.0711447,5,31,0,3893.85,-9.10037,2.28656,0.354279,0.380301,39.9449,28.7554
-3892.45,0.947326,0.0711447,6,63,0,3893.5,-8.56013,2.14479,0.34189,0.396346,38.7958,29.5394
-3894.14,0.999973,0.0711447,5,31,0,3895.14,-7.38973,1.89855,0.286262,0.369164,40.0137,29.6249
-3893.22,0.999454,0.0711447,5,63,0,3896.72,-8.79805,2.21567,0.358925,0.355323,39.0251,29.2722
-3892.16,0.926384,0.0711447,5,31,0,3894.3,-9.11551,2.27471,0.350879,0.396235,39.0201,29.354
-3892.48,0.958753,0.0711447,6,63,0,3894.46,-7.58321,1.98112,0.307431,0.396693,39.5513,28.883
-3893.27,0.979362,0.0711447,4,31,0,3895.14,-7.39657,1.88546,0.354901,0.388487,39.524,28.7294
-3895.83,0.943067,0.0711447,6,63,0,3896.98,-7.13752,1.90389,0.29754,0.367376,40.8002,28.8299
-3894.88,0.997979,0.0711447,6,63,0,3898.56,-6.15433,1.66885,0.323671,0.385308,39.2905,28.4279
-3893.18,0.932009,0.0711447,6,63,0,3897.71,-8.17445,2.05569,0.329043,0.392063,40.5773,29.4239
-3894.11,0.804805,0.0711447,6,63,0,3897.1,-8.34648,2.08228,0.289234,0.393363,38.3754,28.7816
-3893.72,0.919286,0.0711447,5,31,0,3896.12,-8.57343,2.15122,0.288859,0.37511,38.0157,28.9764
-3895.1,0.941853,0.0711447,6,63,0,3896.22,-9.35549,2.3079,0.374124,0.411383,40.9758,29.3363
-3895.85,0.966892,0.0711447,6,63,0,3898.5,-7.48704,1.977,0.289063,0.368033,37.8406,28.8307
-3893.41,0.98469,0.0711447,5,31,0,3897.17,-7.71751,1.97287,0.293429,0.376224,38.1415,28.9578
-3892.16,0.976159,0.0711447,5,31,0,3894.01,-8.28201,2.08613,0.328499,0.383415,39.1214,29.4528
-3892.56,0.951035,0.0711447,5,63,0,3894.09,-7.87124,1.99966,0.35139,0.409947,39.2076,29.5118
-3892.44,0.995915,0.0711447,6,63,0,3893.26,-7.82743,1.98778,0.344519,0.414926,39.3138,29.2293
-3893.61,0.983492,0.0711447,6,63,0,3895.14,-8.58574,2.14624,0.34431,0.43156,40.3961,29.0962
-3894.13,0.999979,0.0711447,6,63,0,3895.13,-8.91084,2.22066,0.283391,0.360673,38.5922,29.0053
-3894.28,0.976943,0.0711447,6,63,0,3896.11,-7.68394,1.96102,0.376254,0.423279,40.5813,29.4707
-3895.87,0.846213,0.0711447,6,63,0,3899.32,-7.50159,1.91314,0.319985,0.360553,38.7994,27.8978
-3894.09,0.999887,0.0711447,6,63,0,3900.44,-9.08613,2.26594,0.257684,0.390099,38.6722,29.2829
-3893.28,0.983857,0.0711447,5,63,0,3895.28,-8.35925,2.14514,0.38032,0.381819,39.8525,29.4668
-3894.53,0.96465,0.0711447,6,63,0,3897.17,-7.00316,1.84322,0.329931,0.434018,38.3754,28.5431
-3895.89,0.789098,0.0711447,6,63,0,3900.49,-9.05113,2.24894,0.266651,0.397159,41.31,28.6081
