# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_shifted_model
# start_datetime = 2025-04-28 19:11:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/dr17bfvw.json
# init = 2 (Default)
# random
#   seed = 50383
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_shifted2ahh_udx/model_shifted-20250428151102_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_shifted.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0718951
# Diagonal elements of inverse mass matrix:
# 1.18877, 0.0560446, 0.00131101, 0.00420641, 0.863471, 0.000370107
-3893.97,0.999434,0.0718951,6,63,0,3897.06,-8.77177,2.22103,0.323323,0.4127,37.4481,28.8966
-3897.04,0.942905,0.0718951,6,63,0,3900.49,-7.18731,1.88644,0.246054,0.364259,39.1545,28.2476
-3900.79,0.843128,0.0718951,5,31,0,3905.68,-7.97861,2.01733,0.294575,0.321014,40.0226,27.7825
-3893.49,0.999948,0.0718951,6,63,0,3902.79,-7.67309,1.9706,0.389081,0.39668,40.0164,29.4999
-3893.27,0.990635,0.0718951,6,63,0,3894.63,-8.38226,2.13892,0.28654,0.406255,38.301,28.6329
-3893.7,0.968381,0.0718951,6,63,0,3895.11,-9.00022,2.285,0.35677,0.370247,40.4332,29.5261
-3892.54,0.997024,0.0718951,6,63,0,3895.27,-8.00464,2.05567,0.303142,0.423075,39.0656,29.3684
-3899.69,0.670161,0.0718951,5,63,0,3902.73,-8.8069,2.16278,0.372351,0.378976,37.7827,30.5672
-3894.89,0.998725,0.0718951,5,63,0,3902.2,-8.75365,2.23963,0.317298,0.388884,39.6937,27.8212
-3894.53,0.996429,0.0718951,6,63,0,3896.3,-8.57756,2.17529,0.367627,0.401898,39.4567,30.3731
-3895.9,0.809885,0.0718951,6,63,0,3899.02,-6.77909,1.81449,0.303422,0.360479,38.6871,28.2891
-3892.62,0.998239,0.0718951,5,31,0,3896.1,-7.35031,1.92894,0.31886,0.399065,39.0077,28.7916
-3893.84,0.882505,0.0718951,5,39,0,3895.59,-8.63658,2.14031,0.321761,0.399666,39.8132,29.6411
-3894.66,1,0.0718951,5,31,0,3897.03,-7.33688,1.90394,0.373934,0.42359,38.7441,30.0152
-3894.36,0.999473,0.0718951,6,63,0,3896.08,-9.74943,2.42341,0.301353,0.379351,40.2896,28.1739
-3895.15,0.947387,0.0718951,6,63,0,3897.83,-6.76646,1.79271,0.355223,0.416651,38.3357,29.9955
-3892.98,0.996629,0.0718951,5,63,0,3897.93,-9.61796,2.38822,0.338231,0.374199,39.4806,29.6451
-3892.48,0.999298,0.0718951,6,63,0,3895.97,-7.37149,1.9111,0.325505,0.415998,39.5714,28.7117
-3895.81,0.971184,0.0718951,5,31,0,3896.99,-8.4198,2.1313,0.353465,0.353982,41.5607,28.6626
-3893.94,0.85481,0.0718951,6,63,0,3899.22,-8.59193,2.21217,0.322558,0.413898,39.9011,28.33
-3898.85,0.829357,0.0718951,5,63,0,3901.64,-11.1875,2.68627,0.384519,0.389662,38.4471,29.4892
-3897.24,0.852876,0.0718951,6,63,0,3903.76,-10.3345,2.51164,0.262601,0.437348,39.5908,28.6686
-3897.45,0.954703,0.0718951,5,63,0,3900.53,-9.60668,2.34589,0.242374,0.429126,39.5459,28.7036
-3898.18,0.999077,0.0718951,6,63,0,3900.34,-7.0653,1.88646,0.404934,0.360497,39.4139,29.9614
-3894.33,0.975183,0.0718951,5,31,0,3901.2,-7.46816,1.94844,0.315785,0.382472,37.4723,29.4721
-3894.64,0.795867,0.0718951,6,63,0,3896.86,-7.51654,1.91199,0.315923,0.39343,37.5587,29.3932
-3893.16,0.994916,0.0718951,5,31,0,3895.14,-7.46488,1.95208,0.318143,0.380449,38.3116,29.4474
-3893.91,0.996663,0.0718951,6,63,0,3895.62,-6.99192,1.81426,0.285848,0.376277,39.0667,29.4667
-3893.25,0.993611,0.0718951,6,63,0,3895.7,-9.26104,2.33846,0.371113,0.423573,39.1965,29.1346
-3892.35,0.994986,0.0718951,5,63,0,3893.87,-8.6916,2.1968,0.348382,0.426454,39.4837,28.8563
-3893.82,0.780618,0.0718951,5,63,0,3895.93,-8.06617,2.05693,0.326171,0.355967,40.4564,29.6387
-3894.05,0.974858,0.0718951,6,63,0,3896.58,-8.83812,2.24293,0.361083,0.353383,40.2863,29.2855
-3892.2,0.717296,0.0718951,5,63,0,3899.78,-9.17737,2.28981,0.358133,0.395964,39.6779,29.236
-3892.89,0.995807,0.0718951,5,47,0,3896.22,-9.16304,2.28588,0.281201,0.410977,39.7476,29.0608
-3892.67,0.986293,0.0718951,6,63,0,3893.99,-8.54503,2.14547,0.375184,0.380989,39.153,28.989
-3894.5,0.784833,0.0718951,5,63,0,3899.26,-7.76757,2.03439,0.322091,0.419161,40.8523,28.9033
-3894.87,0.986156,0.0718951,6,63,0,3897.27,-9.06,2.235,0.336668,0.359451,38.1311,29.1823
-3894.69,0.996263,0.0718951,6,63,0,3897.61,-6.87968,1.81604,0.311085,0.441315,40.4194,29.0466
-3895.25,0.967502,0.0718951,6,63,0,3897.88,-6.40945,1.71073,0.317978,0.425192,40.5057,29.5924
-3895.08,0.99994,0.0718951,5,63,0,3897.7,-7.64902,1.96535,0.314931,0.426222,40.0438,30.3155
-3893.49,0.993054,0.0718951,5,31,0,3895.88,-7.72322,1.9795,0.294397,0.41048,40.053,29.8352
-3894.34,0.851094,0.0718951,6,63,0,3896.75,-7.9873,2.04797,0.319944,0.427861,40.6231,29.9318
-3894.02,0.948329,0.0718951,6,63,0,3896.72,-8.49586,2.14797,0.305504,0.40398,41.0871,29.7149
-3894.22,0.951023,0.0718951,6,63,0,3897.49,-8.72832,2.2257,0.333122,0.409564,41.33,28.84
-3893.39,0.950793,0.0718951,6,63,0,3896.28,-7.99806,2.068,0.355857,0.384604,37.9964,29.4203
-3894.94,0.927628,0.0718951,6,63,0,3898.12,-7.29181,1.93199,0.28338,0.412321,40.2091,29.5546
-3892.35,0.850505,0.0718951,5,63,0,3897.62,-8.40219,2.11226,0.336931,0.41967,39.6648,28.932
-3892.56,0.999237,0.0718951,6,63,0,3893.32,-8.7783,2.19666,0.34067,0.42222,39.7125,28.7388
-3894.97,0.632188,0.0718951,4,27,0,3902.17,-7.93664,2.01066,0.258836,0.441755,39.1496,29.3333
-3893.63,0.99894,0.0718951,6,63,0,3896.26,-7.97423,2.02757,0.264285,0.397959,38.7993,29.4832
-3894.85,0.668219,0.0718951,3,11,0,3896.68,-7.81685,2.04871,0.268116,0.394698,39.0122,29.5542
-3893.88,0.991131,0.0718951,6,63,0,3899.6,-9.35813,2.35921,0.381893,0.396433,40.5484,29.0635
-3894.22,0.912855,0.0718951,6,63,0,3896.18,-10.327,2.51834,0.329729,0.384975,38.7171,29.0928
-3894.7,0.999719,0.0718951,5,63,0,3902.49,-9.40006,2.32492,0.314813,0.363652,38.2007,28.4236
-3896.34,0.999881,0.0718951,5,31,0,3897.67,-9.76627,2.45422,0.343774,0.368504,38.7703,27.789
-3893.21,0.901655,0.0718951,5,31,0,3899.81,-8.72819,2.19652,0.322629,0.360171,38.2283,29.3097
-3894.23,0.771995,0.0718951,5,63,0,3896.38,-8.6314,2.1772,0.331913,0.428017,41.2729,28.8873
-3894.26,0.979959,0.0718951,6,63,0,3896.96,-7.56641,1.94787,0.284395,0.415097,38.2933,29.8627
-3897.1,0.820748,0.0718951,6,63,0,3899.89,-9.42242,2.39371,0.406114,0.38479,40.8872,28.5268
-3896.87,0.990705,0.0718951,6,63,0,3899.59,-8.79356,2.25829,0.401889,0.420289,40.5726,28.2158
-3896.45,0.983722,0.0718951,6,63,0,3898.78,-7.0563,1.85393,0.261643,0.380476,37.9941,30.001
-3892.87,0.941005,0.0718951,6,63,0,3899.26,-8.44911,2.16403,0.359052,0.374536,38.4604,29.1171
-3893.18,0.945141,0.0718951,6,63,0,3895.94,-8.35529,2.09146,0.299634,0.405056,40.0472,29.4071
-3892.94,0.995877,0.0718951,6,63,0,3895.27,-8.66198,2.16361,0.310059,0.412108,40.3232,29.2112
-3892.8,0.999895,0.0718951,6,63,0,3893.74,-7.7652,2.01838,0.347165,0.376791,38.5022,28.978
-3893.82,0.944456,0.0718951,5,63,0,3896.87,-9.38615,2.3247,0.347562,0.408502,38.9114,28.2258
-3892.49,0.999646,0.0718951,5,63,0,3899.3,-7.68937,1.9751,0.305883,0.392386,40.4145,29.1581
-3893.6,0.977568,0.0718951,6,63,0,3894.8,-9.31417,2.34618,0.331545,0.387449,38.073,28.4967
-3893.15,0.857355,0.0718951,6,63,0,3898.27,-7.97317,2.00054,0.330035,0.39852,39.078,29.2868
-3893.34,0.999082,0.0718951,6,63,0,3895.06,-8.88519,2.27531,0.346656,0.405832,39.475,28.5652
-3892.39,0.996455,0.0718951,6,63,0,3893.79,-8.60659,2.19535,0.303476,0.413002,39.244,29.3828
-3892.57,0.989729,0.0718951,5,63,0,3893.95,-8.81729,2.20577,0.359083,0.418071,39.123,28.826
-3893.45,0.995653,0.0718951,5,63,0,3896.03,-9.07096,2.29692,0.301059,0.365704,39.9429,28.5543
-3893.5,0.94175,0.0718951,6,63,0,3897.05,-9.66937,2.41922,0.374048,0.419108,39.1445,29.364
-3892.59,0.951735,0.0718951,5,63,0,3894.79,-8.79124,2.23696,0.374873,0.395818,39.5543,28.9723
-3892.93,0.912684,0.0718951,6,63,0,3894.45,-8.71318,2.17769,0.353566,0.406206,38.4709,28.7047
-3894.43,0.834137,0.0718951,5,31,0,3896.8,-8.8897,2.21586,0.290781,0.371945,38.2777,29.8508
-3894.92,0.998774,0.0718951,6,63,0,3897.75,-9.77557,2.40834,0.367957,0.417221,40.9606,28.9407
-3893.03,0.998166,0.0718951,6,63,0,3896.2,-9.34868,2.32376,0.332386,0.376797,39.7208,28.3617
-3894.22,0.859904,0.0718951,5,31,0,3895.01,-9.15917,2.3387,0.353745,0.367924,39.4029,28.5954
-3894.96,0.979191,0.0718951,6,63,0,3896.49,-7.44863,1.88356,0.289516,0.422301,39.6698,28.7999
-3895.16,0.998814,0.0718951,5,63,0,3898.55,-8.71308,2.16029,0.327693,0.355709,38.3006,28.5803
-3894.41,0.984134,0.0718951,6,63,0,3897.45,-9.77121,2.39844,0.308592,0.360269,39.2424,29.4455
-3892.83,0.98292,0.0718951,5,31,0,3895.63,-9.39914,2.3712,0.301032,0.410701,39.2469,28.9189
-3892.68,0.976619,0.0718951,6,63,0,3895.2,-7.82908,2.01661,0.340621,0.408817,38.4964,29.6365
-3895.4,0.709701,0.0718951,6,63,0,3897.68,-7.58826,1.9981,0.342734,0.360866,37.8505,28.8775
-3895.35,0.999339,0.0718951,6,63,0,3898.39,-8.85039,2.19557,0.319253,0.433732,41.113,29.2962
-3893.56,1,0.0718951,6,63,0,3898.22,-8.96626,2.22774,0.374535,0.375902,38.8085,28.7814
-3896.19,0.883829,0.0718951,5,63,0,3899.36,-8.87347,2.21048,0.381977,0.420795,41.6105,28.8338
-3893.39,0.999982,0.0718951,5,63,0,3898.73,-9.12272,2.26909,0.299935,0.412584,40.619,29.0927
-3893.12,0.726693,0.0718951,5,63,0,3901.42,-8.70896,2.17777,0.338406,0.417503,40.3771,28.6093
-3893.66,0.986635,0.0718951,6,63,0,3896.22,-6.92941,1.79024,0.346069,0.408153,38.8713,29.31
-3896.79,1,0.0718951,5,31,0,3898.45,-7.86767,1.99309,0.40093,0.349867,40.0059,28.4713
-3896.2,0.905395,0.0718951,6,63,0,3900.34,-9.01441,2.23396,0.266993,0.451407,40.3757,29.3489
-3894.84,0.993216,0.0718951,6,63,0,3898.94,-10.9325,2.66345,0.314274,0.402023,38.7553,29.0875
-3895.58,0.956588,0.0718951,5,31,0,3896.89,-11.1892,2.72672,0.309385,0.412662,38.6626,28.8925
-3895.68,0.998333,0.0718951,6,63,0,3897.45,-11.0814,2.70794,0.31503,0.42651,38.8397,28.7079
-3891.98,0.868389,0.0718951,5,63,0,3898.94,-8.82974,2.21186,0.315258,0.401414,39.6902,29.3396
-3892.62,0.999922,0.0718951,5,63,0,3894.73,-7.79081,2.00956,0.347706,0.410242,38.8274,28.5207
-3894.04,0.995687,0.0718951,5,31,0,3894.66,-7.78,1.98863,0.333523,0.402262,38.1217,28.1867
-3894.8,0.99881,0.0718951,6,63,0,3897.81,-8.74435,2.2184,0.238839,0.422821,39.6349,29.1117
-3893.7,0.993128,0.0718951,6,63,0,3895.25,-9.0494,2.26235,0.258069,0.411499,39.6766,28.9999
-3892.72,0.999993,0.0718951,4,31,0,3894.11,-8.99101,2.25597,0.27915,0.411844,39.4576,28.9246
-3892.61,0.996101,0.0718951,6,63,0,3894.9,-7.97977,2.04434,0.373798,0.378729,39.397,29.4201
-3892.46,0.992631,0.0718951,6,63,0,3893.71,-8.4116,2.14173,0.285828,0.40933,38.9231,28.9008
-3893.91,0.939744,0.0718951,5,63,0,3898.46,-8.03653,2.03826,0.30744,0.40699,40.193,30.0577
-3893.88,0.999125,0.0718951,6,63,0,3896.01,-9.02138,2.25291,0.383149,0.403656,38.3245,28.5844
-3893.93,0.998718,0.0718951,6,63,0,3895.78,-9.56187,2.37335,0.329793,0.429167,39.8234,29.8102
-3895.4,0.989318,0.0718951,5,47,0,3903.2,-10.9926,2.69188,0.328562,0.358903,39.8229,28.918
