# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_wide_model
# start_datetime = 2025-04-28 21:17:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/w9hr8lz7.json
# init = 2 (Default)
# random
#   seed = 36343
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmppyk86fto/model_widem9axxrg1/model_wide-20250428171718_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_wide.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.103504
# Diagonal elements of inverse mass matrix:
# 0.000267262, 1.8302e-05, 0.00145657, 0.00492576, 1.06259, 0.000591483
-354186,0.998719,0.103504,5,31,0,354186,2.06177,0.00164415,0.417673,0.403231,40.8744,31.5998
-354184,0.99891,0.103504,4,15,0,354186,2.06634,0.000714497,0.359905,0.388948,41.3218,31.8909
-354183,0.997304,0.103504,5,31,0,354184,2.06649,0.000732857,0.329181,0.384268,40.9781,31.0325
-354184,0.927912,0.103504,6,63,0,354188,2.09037,-0.00348598,0.330963,0.395658,39.7079,31.9218
-354188,0.985205,0.103504,5,31,0,354189,2.06832,0.000189507,0.301585,0.410088,37.2995,30.8717
-354185,0.991776,0.103504,5,31,0,354190,2.07426,-0.000800725,0.390947,0.393194,41.0215,32.1406
-354184,0.998363,0.103504,5,31,0,354186,2.07441,-0.00061726,0.292917,0.388794,40.3372,30.6724
-354184,0.989894,0.103504,5,31,0,354186,2.06142,0.00184177,0.335169,0.419386,41.1022,31.6881
-354186,0.813256,0.103504,4,31,0,354190,2.04261,0.00433095,0.29732,0.37301,40.1946,30.7454
-354186,0.999953,0.103504,5,31,0,354189,2.06688,0.00115826,0.315326,0.434339,39.3781,32.4738
-354187,0.912407,0.103504,5,31,0,354188,2.08606,-0.00373393,0.348895,0.365153,41.2605,30.7747
-354186,0.976412,0.103504,5,31,0,354190,2.07885,-0.00143724,0.369081,0.356384,38.9641,31.5273
-354184,0.989293,0.103504,5,31,0,354187,2.07352,-0.000692575,0.381991,0.39495,40.1676,31.1653
-354187,0.949475,0.103504,5,31,0,354188,2.08068,-0.00152099,0.402399,0.436101,40.8082,30.6941
-354188,0.883274,0.103504,5,31,0,354190,2.0831,-0.00313696,0.360949,0.429264,41.7357,30.3593
-354186,0.971047,0.103504,5,31,0,354190,2.05044,0.00249733,0.348083,0.401732,39.7766,31.8349
-354187,0.832918,0.103504,3,15,0,354190,2.04782,0.00508184,0.357475,0.381592,39.4136,31.9317
-354188,0.999887,0.103504,5,31,0,354190,2.10596,-0.00725332,0.346668,0.415992,40.9442,30.7818
-354185,0.972057,0.103504,5,31,0,354190,2.04937,0.00347833,0.309249,0.360546,39.8099,31.7541
-354187,0.997661,0.103504,5,31,0,354189,2.04742,0.00390156,0.269312,0.356858,40.5988,31.3471
-354185,0.871038,0.103504,5,31,0,354189,2.06498,0.00154728,0.371051,0.423627,39.6712,32.2453
-354187,0.998625,0.103504,5,31,0,354189,2.07009,0.000573371,0.335329,0.383333,40.1875,29.8416
-354185,0.946875,0.103504,5,31,0,354189,2.08671,-0.00205366,0.381694,0.394526,40.0988,31.5658
-354186,0.91121,0.103504,5,31,0,354187,2.06806,-0.000761182,0.27356,0.385466,40.094,31.7792
-354186,0.998516,0.103504,5,31,0,354189,2.08349,-0.00209493,0.286466,0.394277,38.4925,31.7472
-354187,0.951826,0.103504,4,15,0,354188,2.08418,-0.00201946,0.283817,0.394327,37.8654,31.3376
-354185,0.977044,0.103504,3,15,0,354189,2.08054,-0.00123011,0.301003,0.39949,39.0114,31.7414
-354184,0.999945,0.103504,5,31,0,354186,2.07919,-0.00210776,0.341041,0.413908,41.1359,32.0339
-354190,0.842708,0.103504,5,31,0,354193,2.0745,-0.00187009,0.401881,0.436044,39.4871,33.0477
-354186,0.996238,0.103504,5,31,0,354191,2.07832,-0.000865544,0.303867,0.357332,41.3555,30.8465
-354187,0.959405,0.103504,5,31,0,354190,2.09886,-0.00580754,0.369755,0.420016,39.087,31.7138
-354188,0.999278,0.103504,5,31,0,354193,2.07282,-0.000594331,0.394947,0.433476,40.9366,30.0314
-354188,0.942038,0.103504,5,31,0,354191,2.08956,-0.00275064,0.300685,0.35466,39.0171,32.9689
-354186,0.991281,0.103504,5,31,0,354190,2.05682,0.00313634,0.331642,0.453143,39.694,31.4086
-354187,0.934574,0.103504,5,31,0,354189,2.08087,-0.00204028,0.301349,0.340996,41.0593,32.2576
-354186,0.960173,0.103504,5,31,0,354192,2.0768,-0.00124123,0.358622,0.408377,42.4298,32.1872
-354185,0.963696,0.103504,5,31,0,354189,2.04672,0.00402832,0.309087,0.391496,39.5765,32.1014
-354188,0.809538,0.103504,4,31,0,354196,2.02087,0.00908434,0.348439,0.376459,40.1706,31.3482
-354185,0.980321,0.103504,5,31,0,354191,2.05561,0.0028054,0.319627,0.368594,40.2467,32.7262
