# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_wide_model
# start_datetime = 2025-04-28 19:10:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/qan92rfe.json
# init = 2 (Default)
# random
#   seed = 15722
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_widetme9bho0/model_wide-20250428151011_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_wide.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0695009
# Diagonal elements of inverse mass matrix:
# 1.24823, 0.0592097, 0.00116666, 0.00487337, 1.09894, 0.000595504
-3773.38,0.983581,0.0695009,5,31,0,3776.45,-9.43669,2.39492,0.340496,0.385807,40.0832,31.8647
-3773.81,0.974797,0.0695009,6,63,0,3775.03,-8.21269,2.13471,0.316373,0.384777,40.9232,31.2331
-3773.51,0.99807,0.0695009,5,63,0,3777.81,-8.87935,2.26986,0.307005,0.368091,40.0996,31.5278
-3776.59,0.985092,0.0695009,5,31,0,3778.72,-9.25317,2.30564,0.415354,0.417879,39.1537,30.5886
-3774.46,0.813002,0.0695009,5,31,0,3779.32,-9.65463,2.36489,0.362012,0.385925,39.6184,31.1
-3772.84,0.999059,0.0695009,6,63,0,3775.96,-9.09053,2.28519,0.303393,0.426209,40.7463,31.723
-3772.83,0.924928,0.0695009,5,63,0,3775.47,-8.88131,2.25971,0.35726,0.404572,39.7611,31.8149
-3774.11,0.997451,0.0695009,5,63,0,3775.09,-8.43333,2.1233,0.305912,0.369841,38.8526,31.0885
-3773.22,0.937653,0.0695009,6,63,0,3776.01,-9.1548,2.28622,0.347638,0.360162,39.6699,31.7026
-3772.71,0.827663,0.0695009,5,63,0,3775.44,-8.58559,2.17524,0.355092,0.414914,41.034,31.1578
-3773.9,0.723771,0.0695009,4,19,0,3775.85,-8.71404,2.24706,0.341478,0.401858,40.8917,31.3065
-3773.29,0.993969,0.0695009,5,63,0,3775.46,-8.0855,2.07224,0.318476,0.366444,41.5793,31.739
-3776.96,0.875342,0.0695009,5,31,0,3778.28,-8.2257,2.12369,0.310075,0.352386,42.5631,32.4713
-3773.3,0.998422,0.0695009,5,31,0,3778.3,-7.70918,1.97191,0.368544,0.395262,40.1551,32.2047
-3772.26,0.996785,0.0695009,5,63,0,3774.52,-8.10057,2.08064,0.316477,0.389944,39.9991,31.4831
-3774.05,0.986493,0.0695009,5,63,0,3774.95,-7.80724,2.01187,0.295299,0.372084,41.8333,31.9119
-3774.96,0.998509,0.0695009,5,63,0,3780.4,-8.02798,2.04476,0.306614,0.362943,42.4545,31.5086
-3773.56,0.999969,0.0695009,6,63,0,3777.46,-8.81248,2.2186,0.354447,0.410131,38.6548,31.5889
-3773.97,0.997166,0.0695009,6,63,0,3776.03,-9.98549,2.47525,0.293949,0.379331,41.7846,31.6999
-3773.76,0.837086,0.0695009,6,63,0,3775.89,-8.00257,2.05418,0.374555,0.415263,39.1536,31.8071
-3776.87,0.991415,0.0695009,6,63,0,3778.47,-7.49979,1.94575,0.345534,0.457585,42.3965,32.0343
-3775.88,0.999994,0.0695009,5,31,0,3778.1,-8.07884,2.05966,0.346767,0.4555,42.2769,31.5431
-3773.55,0.745369,0.0695009,6,63,0,3779.88,-8.13346,2.07348,0.286909,0.380221,41.6765,31.4682
-3773.68,0.888059,0.0695009,6,63,0,3776.12,-8.54005,2.16083,0.265144,0.411134,41.0137,31.2918
-3777,0.638578,0.0695009,6,63,0,3779.74,-10.0147,2.42071,0.368936,0.418898,39.7166,31.816
-3773.45,0.99455,0.0695009,2,7,0,3777.18,-9.86438,2.44612,0.369024,0.417109,39.7398,31.8129
-3773.38,0.873112,0.0695009,6,63,0,3775.49,-7.48309,1.95743,0.327716,0.387154,40.9834,31.0541
-3773.69,0.999643,0.0695009,6,63,0,3776.34,-10.214,2.54704,0.32191,0.404534,39.9117,32.2848
-3775.3,0.83357,0.0695009,6,63,0,3777.63,-9.61884,2.42612,0.366499,0.350654,41.1211,31.3784
-3775.27,0.943253,0.0695009,6,63,0,3778.77,-9.08,2.31266,0.273791,0.389096,42.0654,31.3317
-3773.03,0.999263,0.0695009,5,31,0,3775.94,-8.80655,2.24782,0.319555,0.381418,39.5721,31.2185
-3775.23,0.94949,0.0695009,5,63,0,3781.58,-6.96401,1.81531,0.316828,0.417271,38.6645,31.2861
-3775.37,0.912937,0.0695009,2,3,0,3775.93,-6.90079,1.821,0.315822,0.416471,38.6172,31.3085
-3774.82,0.812089,0.0695009,6,63,0,3779.97,-8.03264,2.05688,0.264677,0.425168,39.0306,31.5787
-3774.83,0.999838,0.0695009,6,63,0,3778.29,-8.56624,2.17238,0.366797,0.385905,38.05,31.6388
-3774.14,0.805774,0.0695009,5,31,0,3777.3,-8.25476,2.06273,0.318821,0.394207,39.1955,32.0973
-3772.72,0.909055,0.0695009,6,63,0,3776.25,-8.98819,2.26254,0.346734,0.409528,41.3866,31.1925
-3773.56,0.983373,0.0695009,6,63,0,3774.26,-9.81534,2.42739,0.335498,0.429101,41.2474,31.6558
-3772.39,0.999898,0.0695009,5,63,0,3774.34,-8.61474,2.18853,0.341413,0.416133,40.4627,31.9462
-3775.53,0.999257,0.0695009,6,63,0,3776.84,-8.1796,2.09156,0.381217,0.423086,39.5661,30.2803
-3774.37,0.85297,0.0695009,5,63,0,3778.06,-8.85211,2.19267,0.33384,0.39717,40.1067,30.496
-3774.06,0.982817,0.0695009,5,63,0,3776.15,-9.36147,2.3354,0.329142,0.412491,39.3141,30.5065
-3774.4,0.821621,0.0695009,6,63,0,3777.46,-8.7183,2.18035,0.405653,0.398899,40.839,31.8759
