# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_wide_model
# start_datetime = 2025-04-28 19:10:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/qan92rfe.json
# init = 2 (Default)
# random
#   seed = 15722
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_widetme9bho0/model_wide-20250428151011_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_wide.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0704043
# Diagonal elements of inverse mass matrix:
# 1.17409, 0.0560219, 0.001383, 0.00468452, 1.09114, 0.000465046
-3772.94,0.909442,0.0704043,6,63,0,3775.25,-9.51622,2.37085,0.312587,0.385777,40.587,32.4707
-3773.23,0.692074,0.0704043,2,7,0,3776.12,-9.59214,2.41087,0.313453,0.388128,40.5074,32.443
-3773.98,0.956717,0.0704043,6,63,0,3777.77,-7.77404,1.98012,0.299416,0.432182,40.1808,31.1063
-3773.8,0.920537,0.0704043,5,31,0,3775.3,-7.75015,2.00986,0.30066,0.432569,40.2235,31.271
-3775.34,0.979866,0.0704043,6,63,0,3776.24,-7.73226,2.01091,0.35425,0.344751,40.877,31.1205
-3775.28,0.94257,0.0704043,6,63,0,3778.05,-10.5704,2.61764,0.316518,0.450514,40.5688,31.7226
-3773.27,0.947564,0.0704043,6,63,0,3777.5,-8.3367,2.12956,0.323465,0.378916,41.9135,31.9495
-3773.1,0.965081,0.0704043,6,63,0,3774.5,-7.77573,2.01658,0.343635,0.393073,39.3524,31.8759
-3773.56,0.999175,0.0704043,6,63,0,3774.14,-10.2343,2.5119,0.320505,0.400007,41.3428,31.3312
-3774.28,0.980968,0.0704043,6,63,0,3775.6,-7.2782,1.91665,0.353123,0.418773,40.8459,32.161
-3775.17,0.999215,0.0704043,6,63,0,3778,-7.61113,1.93605,0.336527,0.395317,41.0508,33.0576
-3774.8,0.902481,0.0704043,5,63,0,3777.89,-7.83151,1.97842,0.313617,0.403143,40.4451,30.3756
-3775.44,0.99897,0.0704043,5,31,0,3777.25,-8.1361,2.07878,0.32397,0.406852,40.6083,29.8294
-3775.54,0.958509,0.0704043,6,63,0,3777.67,-9.55015,2.40344,0.335749,0.382997,40.0731,33.4264
-3775.42,0.99673,0.0704043,6,63,0,3777.86,-7.1551,1.85885,0.328822,0.406457,40.7564,30.1252
-3773.63,0.958894,0.0704043,5,31,0,3776.91,-7.25836,1.86685,0.322374,0.412105,40.9959,31.7216
-3774.87,0.844238,0.0704043,5,31,0,3777.07,-6.976,1.85205,0.290749,0.388792,41.4482,31.3686
-3772.72,0.996189,0.0704043,5,63,0,3777.84,-8.76453,2.22186,0.291571,0.414712,40.5953,31.4512
-3774.08,0.99588,0.0704043,6,63,0,3774.83,-8.27381,2.10896,0.331142,0.439174,40.9853,30.7332
