# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_tight_model
# start_datetime = 2025-04-28 19:10:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/8m7fm5dt.json
# init = 2 (Default)
# random
#   seed = 58361
# output
#   file = /var/folders/86/3gll7lw97bd1x0htrdm3wgfw0000gn/T/tmp5ckvn70_/model_tightivvzqpkl/model_tight-20250428151036_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=model_tight.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_motif,mu_0,sigma_0,mu_1,sigma_1
# Adaptation terminated
# Step size = 0.0859376
# Diagonal elements of inverse mass matrix:
# 0.816827, 0.0373422, 0.00178543, 0.00487801, 0.770623, 0.000240729
-4313.59,0.976616,0.0859376,5,63,0,4316.22,-6.63216,1.81039,0.333514,0.372753,34.3826,25.3957
-4311.38,0.801219,0.0859376,2,3,0,4316.3,-6.776,1.76074,0.332453,0.371382,34.4251,25.3834
-4312.52,0.892002,0.0859376,6,63,0,4313.16,-7.07953,1.89021,0.339395,0.419967,35.0969,24.8686
-4314.36,0.959525,0.0859376,5,31,0,4315.09,-7.03673,1.79702,0.377861,0.427988,35.6477,24.8967
-4315.72,0.999512,0.0859376,5,31,0,4316.97,-6.8773,1.85104,0.375799,0.43561,35.3127,24.3824
-4313.12,0.9881,0.0859376,5,63,0,4319.14,-5.59629,1.56568,0.363583,0.408699,35.2989,24.9942
-4312.52,0.964007,0.0859376,5,31,0,4314.76,-6.03802,1.61281,0.358458,0.390666,35.7976,25.2748
-4314.18,0.991589,0.0859376,5,31,0,4315.66,-6.26575,1.66664,0.303005,0.413124,34.5919,24.2148
-4313.48,0.999916,0.0859376,6,63,0,4315.67,-7.63999,1.97958,0.309948,0.396376,32.9081,25.0858
-4312.87,0.867924,0.0859376,5,31,0,4316.57,-6.33833,1.7163,0.362021,0.375498,35.3456,25.5867
-4311.91,0.999714,0.0859376,6,63,0,4315.62,-7.53809,1.96655,0.308688,0.39556,34.3481,24.6711
-4312.06,0.997472,0.0859376,5,31,0,4313.04,-7.65553,1.99209,0.314291,0.402267,34.8545,24.5894
-4310.69,0.968893,0.0859376,5,31,0,4313.29,-6.79102,1.80045,0.31711,0.392521,35.0153,24.8714
-4311.99,0.987984,0.0859376,5,63,0,4313.62,-7.39235,1.90577,0.351405,0.364256,35.4093,24.8048
-4313.29,0.973841,0.0859376,5,31,0,4315.93,-7.27979,1.9022,0.374683,0.401801,33.82,25.9116
-4313.52,0.998239,0.0859376,4,15,0,4313.91,-7.47353,1.94396,0.379123,0.404377,33.6794,25.8634
-4310.77,0.972038,0.0859376,5,31,0,4314.17,-7.08115,1.83802,0.324906,0.383139,34.0459,25.1515
-4312.08,0.862268,0.0859376,5,31,0,4314.41,-7.35419,1.88838,0.314373,0.438065,34.5465,25.2613
-4312.78,0.990183,0.0859376,5,31,0,4315.75,-7.16171,1.84595,0.367889,0.380382,34.2258,24.5789
-4312.44,0.999965,0.0859376,5,31,0,4313.84,-7.12507,1.87055,0.346912,0.35937,34.243,24.6783
-4313.1,0.777164,0.0859376,5,31,0,4315.81,-6.75793,1.82727,0.353486,0.404132,34.275,24.77
-4313.72,0.995621,0.0859376,6,63,0,4317.28,-5.20897,1.4403,0.302427,0.431218,34.9904,25.1044
-4314.56,0.686889,0.0859376,5,35,0,4318.22,-8.04871,2.0131,0.380022,0.364419,34.5499,25.1169
